keyword,traffic,difficulty
exterior,1.4,4.5
racket,0.5,7.5
rocketeer,0.9,8.5
snowboard,4.3,7.9
surfing,3.3,8.1
riser,0.5,9.1
wingsuit,1.7,5.9
tempest,3.1,5.0
avent,1.7,9.5
als,2.1,2.5
mediocre,1.0,9.1
bonfire,2.9,4.5
spacer,0.5,9.0
battlestar,0.8,8.6
fuse,3.2,4.9
badlands,3.1,7.9
skyrocket,1.2,7.5
skiing,4.1,8.8
bfr,0.5,7.8
blockhead,2.3,8.1
terrence,0.5,8.6
agency,0.6,9.3
wayward,0.5,8.8
hertz,5.3,6.3
journey,4.5,7.9
galaxian,2.2,9.5
shy,1.5,9.3
marshal,0.6,6.2
fusee,0.5,7.7
expedition,2.9,6.3
elon,0.9,4.0
rocketship,2.0,7.0
launch,3.2,6.0
soyuz,0.5,7.3
skysafari,2.6,8.1
demo,2.9,8.6
eden,3.7,5.1
asteroid,2.2,4.9
aerodynamics,0.7,4.0
monument,3.0,6.4
dewa,1.7,8.2
aldo,4.3,8.1
snowboarding,3.8,9.2
mmm,3.1,7.5
sands,1.1,8.5
specify,0.6,7.6
chill,2.8,8.4
titanic,4.4,7.1
odyssey,3.5,1.7
reus,0.5,8.0
spacecraft,1.6,7.9
spacing,0.5,8.6
theo,0.8,7.1
similar,0.5,8.9
dex,2.2,8.4
cosmos,2.2,6.4
luft,4.1,7.4
detachment,0.5,6.7
arp,2.3,5.9
frontier,5.2,9.3
gris,3.6,7.9
non,3.1,9.3
adventure,4.6,9.1
vuela,0.5,8.5
lua,2.3,6.0
space,5.1,9.2
celeste,3.1,7.6
frisbee,2.4,5.4
lama,1.8,8.4
baron,2.1,6.3
flippy,2.5,7.2
downtime,1.8,6.8
rocket,4.7,8.0
trigger,3.0,8.7
hammer,3.1,6.9
dbd,2.9,7.3
pollard,0.5,7.7
lba,0.7,9.3
adv,1.2,9.2
orbiter,0.5,7.8
simulator,5.3,9.3
diving,3.3,8.5
avaya,2.9,4.3
inside,4.8,8.7
paratrooper,0.7,4.2
bombshell,1.7,8.1
harbinger,1.1,7.7
shoah,0.5,8.5
canabalt,1.5,8.7
sandstorm,0.8,8.2
forager,3.0,7.9
six,3.9,8.8
dune,5.1,5.2
spaceship,3.1,7.9
nasa,4.3,7.7
chase,6.5,7.4
