KEYWORD,TRAFFIC,DIFFICULTY,SCORE
apollo,5.1,4.9,6.7652009999999985
slope,5.0,4.8,6.760000000000002
spacecraft,3.4,2.9,5.8273959999999985
ada,3.7,3.6,5.607424000000002
jupiter,2.6,1.8,4.545424
oasis,3.9,4.9,3.9561209999999996
che,2.2,1.9,3.1755240000000002
vtech,2.9,4.0,3.0276
saturn,2.9,4.2,2.8291239999999998
argus,2.9,4.2,2.8291239999999998
dust,4.1,6.0,2.6896
atmosphere,3.2,4.9,2.6634240000000005
chase,6.5,7.5,2.640625
inside,5.1,6.9,2.499560999999999
chameleon,2.9,4.8,2.274064
alpaca,3.0,5.2,2.0736
popular,4.2,6.6,2.0391840000000006
monument,4.5,7.0,1.8225
chill,2.8,5.4,1.6589439999999995
launch,3.2,6.0,1.6384000000000003
astronaut,2.3,4.6,1.5425639999999998
bored,3.8,6.9,1.3876839999999995
llama,4.2,7.2,1.382976
frontier,5.1,7.7,1.3759289999999995
orbit,3.9,7.0,1.3688999999999998
defcon,2.6,5.6,1.3087360000000003
arlo,6.0,8.1,1.2996000000000003
explore,3.5,6.8,1.2544000000000002
expedition,2.8,6.0,1.2543999999999997
symmetry,2.9,6.3,1.151329
cosmo,3.8,7.2,1.1320959999999998
ski,4.4,7.6,1.1151360000000006
nuke,3.5,7.0,1.1025
shuttle,2.9,6.4,1.0899359999999998
jetpack,4.6,7.8,1.024144
alpine,2.7,6.3,0.9980010000000002
ifruit,5.8,8.3,0.9721959999999992
planet,4.1,7.6,0.9682560000000002
habitat,2.0,5.1,0.9604000000000003
usaf,1.5,3.6,0.9216000000000002
rocket,4.7,8.0,0.8836000000000002
lunar,3.6,7.4,0.8760959999999999
mars,3.3,7.2,0.8537759999999998
space,5.1,8.2,0.8427240000000006
junkyard,1.9,5.2,0.8317439999999999
hooked,5.6,8.4,0.8028159999999995
journey,4.7,8.1,0.7974490000000004
pinout,3.0,7.1,0.7569000000000001
arbiter,2.9,7.0,0.7569
cosmos,2.2,6.1,0.7361640000000003
meteor,2.5,6.6,0.7225000000000001
hovercraft,2.2,6.2,0.698896
trouble,3.2,7.4,0.692224
vector,5.2,8.4,0.6922239999999998
snowboard,4.1,8.0,0.6724
endless,3.2,7.5,0.6400000000000001
lua,2.1,6.2,0.636804
henri,2.8,7.2,0.6146559999999998
sparks,2.2,6.5,0.5929000000000001
steep,3.7,8.0,0.5476000000000001
roc,1.8,5.9,0.544644
diving,3.2,7.7,0.5416960000000001
badlands,3.1,7.7,0.508369
nuclear,2.7,7.4,0.4928039999999999
flippy,2.4,7.1,0.48441600000000007
dive,3.6,8.1,0.46785600000000016
celeste,2.9,7.7,0.4448889999999999
surf,3.9,8.3,0.4395689999999996
rfs,3.9,8.3,0.4395689999999996
iss,2.7,7.6,0.41990400000000017
missile,1.8,6.5,0.39690000000000003
fop,1.6,6.2,0.36966400000000005
swordigo,3.2,8.2,0.33177600000000035
kosmic,2.2,7.4,0.327184
bombshell,1.9,7.0,0.3249
vertical,1.6,6.5,0.31360000000000005
hang,2.8,8.0,0.31359999999999993
martian,1.1,5.0,0.30250000000000005
assemble,2.8,8.1,0.28302400000000005
beaker,2.3,7.7,0.2798409999999999
bastion,3.4,8.5,0.2601
trigger,3.0,8.3,0.2600999999999998
stg,1.0,5.3,0.22090000000000004
galactica,2.5,8.2,0.20250000000000015
moor,1.5,7.0,0.2025
nasa,1.6,7.2,0.20070400000000002
ubisoft,4.7,9.1,0.17892900000000014
adventure,4.7,9.1,0.17892900000000014
demo,2.8,8.5,0.17639999999999997
odyssey,3.5,8.8,0.17639999999999978
skysafari,2.9,8.6,0.1648360000000001
alto,5.0,9.2,0.16000000000000028
plain,2.1,8.1,0.15920100000000004
rocketship,1.9,7.9,0.15920099999999995
snowboarding,3.1,8.8,0.13838399999999987
skiing,3.6,9.0,0.12960000000000002
blockhead,2.2,8.5,0.10890000000000002
simulator,5.4,9.4,0.1049759999999999
surfing,3.3,9.2,0.06969600000000012
vodoo,4.3,9.4,0.06656399999999991
skyrocket,1.1,7.7,0.064009
rocker,1.1,7.8,0.05856400000000002
powder,4.4,9.5,0.048400000000000006
built,2.7,9.3,0.03572099999999993
nave,1.2,8.6,0.028224000000000013
catfish,2.8,9.4,0.028223999999999964
lenny,1.3,8.9,0.020448999999999988
