('avaya', '2.9', '4.3')
('baron', '2.1', '6.3')
('canabalt', '1.5', '8.7')
('als', '2.1', '2.5')
('rocketship', '2.0', '7.0')
('skyrocket', '1.2', '7.5')
('dune', '5.1', '5.2')
('shoah', '0.5', '8.5')
('inside', '4.8', '8.7')
('exterior', '1.4', '4.5')
('wayward', '0.5', '8.8')
('harbinger', '1.1', '7.7')
('launch', '3.2', '6.0')
('downtime', '1.8', '6.8')
('battlestar', '0.8', '8.6')
('dbd', '2.9', '7.3')
('monument', '3.0', '6.4')
('detachment', '0.5', '6.7')
('luft', '4.1', '7.4')
('wingsuit', '1.7', '5.9')
('marshal', '0.6', '6.2')
('hertz', '5.3', '6.3')
('terrence', '0.5', '8.6')
('diving', '3.3', '8.5')
('mediocre', '1.0', '9.1')
('theo', '0.8', '7.1')
('spacer', '0.5', '9.0')
('adv', '1.2', '9.2')
('specify', '0.6', '7.6')
('orbiter', '0.5', '7.8')
('skysafari', '2.6', '8.1')
('titanic', '4.4', '7.1')
('galaxian', '2.2', '9.5')
('shy', '1.5', '9.3')
('built', '2.6', '9.3')
('rocketeer', '0.9', '8.5')
('lama', '1.8', '8.4')
('bfr', '0.5', '7.8')
('tempest', '3.1', '5.0')
('chill', '2.8', '8.4')
('lba', '0.7', '9.3')
('ftl', '3.9', '7.4')
('zaman', '0.5', '6.9')
('six', '3.9', '8.8')
('uncomfortable', '0.5', '7.9')
('similarity', '1.4', '8.9')
('chase', '6.5', '7.4')
('space', '5.1', '9.2')
('racket', '0.5', '7.5')
('lua', '2.3', '6.0')
('elon', '0.9', '4.0')
('hammer', '3.1', '6.9')
('frisbee', '2.4', '5.4')
('arp', '2.3', '5.9')
('nasa', '4.3', '7.7')
('pollard', '0.5', '7.7')
('spaceship', '3.1', '7.9')
('gris', '3.6', '7.9')
('blockhead', '2.3', '8.1')
('sandstorm', '0.8', '8.2')
('journey', '4.5', '7.9')
('vuela', '0.5', '8.5')
('fuse', '3.2', '4.9')
('asteroid', '2.2', '4.9')
('skiing', '4.1', '8.8')
('frontierville', '1.7', '9.0')
('simulator', '5.3', '9.3')
('snowboard', '4.3', '7.9')
('bombshell', '1.7', '8.1')
('fusee', '0.5', '7.7')
('dewa', '1.7', '8.2')
('aldo', '4.3', '8.1')
('trigger', '3.0', '8.7')
('non', '3.1', '9.3')
('celeste', '3.1', '7.6')
('paratrooper', '0.7', '4.2')
('frontier', '5.2', '9.3')
('adventure', '4.6', '9.1')
('surfer', '2.3', '7.3')
('riser', '0.5', '9.1')
('spacing', '0.5', '8.6')
('expedition', '2.9', '6.3')
('bonfire', '2.9', '4.5')
('dex', '2.2', '8.4')
('demo', '2.9', '8.6')
('badlands', '3.1', '7.9')
('aerodynamics', '0.7', '4.0')
('reus', '0.5', '8.0')
('eden', '3.7', '5.1')
('skyhigh', '0.5', '5.9')
('surfing', '3.3', '8.1')
('missile', '1.8', '6.6')
('forager', '3.0', '7.9')
('sands', '1.1', '8.5')
('soyuz', '0.5', '7.3')
('odyssey', '3.5', '1.7')
