,APP_NAME,SENSOR_SCORE,VISIBILITY,INTERNATIONALIZATION,KEYWORDS
0,SkyView Lite,85,67,67,"['starz', 'sky', 'skyview', 'costar', 'astrology', 'apps', 'space', 'education', 'luna', 'pattern', 'nasa', 'entertainment', 'moon', 'planet', 'stargazer', 'fly', 'explore', 'constellation', 'sanctuary', 'universe', 'sun', 'gaze', 'sol', 'iss', '115', 'skywalk', 'guide', 'skydive', 'planetarium', 'cosign', 'nightsky']"
1,Spaceflight Simulator,76,55,75,"['skyview', 'simulator', 'space', 'play', 'education', 'apollo', 'simple', 'nasa', 'flight', 'science', 'moon', 'made', 'rfs', 'universe', 'launcher', 'falcon', 'iss', 'shuttle', 'facade', 'metalstorm', 'role', 'researcher', 'gamecube', 'fsx', 'rocketship', 'joey', 'kerbal', 'cessna', 'educate', 'similar', 'jpl']"
2,TerraGenesis,81,60,87,"['starz', 'io', 'skyview', 'raft', 'simulator', 'space', 'pluto', 'frontier', 'ganes', 'earth', 'nasa', 'entertainment', 'centerpoint', 'science', 'moon', 'alien', 'planet', 'stargazer', 'avo', 'ragnarok', 'genesis', 'explore', 'bazi', 'venus', 'universe', 'lost', 'tera', 'mobike', 'colony', 'planetarium', 'researcher']"
3,NASA,74,57,76,"['skyview', 'space', 'education', 'earth', 'moon', 'mercury', 'venus', 'universe', 'sun', 'mars', 'jupiter', 'iss', 'system', 'saturn', 'astronaut', 'nightsky', 'kerbal', 'educate', 'jpl', 'aerospace', 'mysterious', 'thesun', 'multiverse', 'cosmonaut', 'nasa']"
4,Space Armada,72,56,81,"['starz', 'battleship', 'juegos', 'war', 'simulator', 'space', 'shooting', 'multiplayer', 'halo', 'eve', 'battle', 'shooter', 'fleet', 'blizzard', 'galaxy', 'alien', 'action', 'starwars', 'battlefield', 'starship', 'starcraft', 'combat', 'aurora', 'coop', 'battlefront', 'modern', 'eclipse', 'trek', 'attack', 'reaper', 'olympus']"
5,Orbit - Playing,58,56,74,"['piano', 'coloring', 'puzzle', 'color', 'art', 'simulator', 'space', 'play', 'black', 'hole', 'blackhole', 'science', 'planet', 'physics', 'orbit', 'launcher', 'gravity', 'toss', 'blackplanet', 'planetarium', 'researcher', 'rihanna', 'pianist', 'minimal', 'marimba', 'kerbal', 'avicii', 'smu', 'ian', 'evian', 'aerospace']"
6,My Pocket Galaxy,67,58,60,"['starz', 'sandbox', 'skyview', 'raft', 'simulator', 'astrology', 'space', 'express', '3d', 'world', 'education', 'pluto', 'build', 'earth', 'body', 'nasa', 'black', 'hole', 'blackhole', 'galaxy', 'create', 'action', 'planet', 'physics', 'endless', 'orbit', 'sand', 'dos', 'universe', 'dad', 'sun']"
7,Solar Walk Lite,70,47,78,"['skyview', 'simulator', 'astrology', 'pocket', 'kids', 'space', '3d', 'tracker', 'education', 'wikipedia', 'nasa', 'learning', 'galaxy', 'explorer', 'fine', 'eyes', 'planet', 'learn', 'atlas', 'globe', 'universe', 'dad', 'exploration', 'three', 'scope', 'encyclopedia', 'guide', 'system', 'den', 'planetarium', 'britannica']"
8,Zombie Outbreak Simulator,65,57,51,"['sims', 'maps', 'zombie', 'simulator', 'infection', 'horror', 'outbreak', 'infected', 'infectonator', 'killing', 'facade', 'biohazard', 'gamecube', 'beware', 'undead', 'kerbal', 'jbs', 'similar', 'aerospace', 'section', 'samsam', 'infestation', 'horrible', 'extinction']"
9,Space Frontier 2,71,55,87,"['coloring', 'gamestop', 'sky', 'color', 'stickman', 'juegos', 'run', 'sing', 'quik', 'arcade', 'kids', 'water', 'space', '3d', 'wifi', 'internet', 'frontier', 'ganes', 'tap', 'rider', 'jump', 'hitman', 'nasa', 'light', 'entertainment', 'hole', 'action', 'fly', 'bazi', 'hit', 'dos']"
