KEYWORD,TRAFFIC,DIFFICULTY
spaceteam,4.1,5.6
space flight simulator,3.4,5.6
spacetoon,2.1,4.0
spacetoon go,3.5,0.9
space agency,2.5,4.8
spacex,2.4,4.3
space bang,0.5,3.0
space buster,0.5,2.6
"space enemies ",0.5,3.3
space harrier,"0.7 ",2.3
space haggler,0.5,0
space hustler,0.5,0
space jet,1.2,5.7
space kong,0.5,1.1
space leap,0.5,2.0
space pinball,1.9,5.9
space pursuit,0.5,1.6
space punks,0.5,2.5
"space quest ",1.3,5.6
space race,1.6,5.0
space shuttle,2.4,5.2
space station,2.2,3.9
space toon go,1.4,3.2
space tune go,1.5,1.0
space up,0.5,4.4
space vox,0.5,0.1
