KEYWORD,TRAFFIC,DIFFICULTY,SCORE
centerpoint,0.45,0.37,53.24471804789654
momo,0.51,0.47000000000000003,51.99038372622383
police,0.52,0.5599999999999999,47.83304297240561
blackhole,0.44000000000000006,0.49000000000000005,47.37087712930805
airplay,0.5700000000000001,0.61,47.148700936505136
battleship,0.58,0.65,45.05552130427524
peggle,0.45,0.55,45.0
launcher,0.33999999999999997,0.41,44.788391353117376
bridge,0.44000000000000006,0.55,44.49719092257398
pomodoro,0.47000000000000003,0.58,44.42971978304613
luna,0.49000000000000005,0.6,44.271887242357316
vr,0.5700000000000001,0.6599999999999999,44.022721406110286
max,0.49000000000000005,0.61,43.71498598878879
ark,0.63,0.7,43.47413023856832
piano,0.7,0.73,43.47413023856832
ark,0.63,0.7,43.47413023856832
spark,0.53,0.65,43.06971093471606
endless,0.4,0.54,42.89522117905443
jet,0.48,0.62,42.708313008125245
scratch,0.49000000000000005,0.63,42.579337712087536
earth,0.47000000000000003,0.62,42.26109321823088
psych,0.71,0.75,42.13074886588179
stickman,0.5700000000000001,0.6900000000000001,42.035699113967404
sonic,0.73,0.76,41.8568990729127
space,0.51,0.6599999999999999,41.64132562731403
war,0.55,0.6900000000000001,41.291645644125154
evolution,0.45999999999999996,0.63,41.255302689472536
chapters,0.58,0.71,41.01219330881976
offroad,0.43,0.61,40.951190458886536
offroad,0.43,0.61,40.951190458886536
skate,0.54,0.6900000000000001,40.91454509095756
ben,0.36,0.54,40.69397989875161
sandbox,0.6,0.73,40.24922359499622
vector,0.5,0.6799999999999999,40.00000000000001
studio,0.5,0.6799999999999999,40.00000000000001
astrology,0.55,0.71,39.937451095431726
knot,0.45,0.65,39.68626966596886
mars,0.32999999999999996,0.53,39.382737335030434
starcraft,0.36,0.5700000000000001,39.344631145812
empire,0.45,0.6599999999999999,39.1152144312159
water,0.51,0.7,39.1152144312159
please,0.38,0.6,38.98717737923585
raft,0.5599999999999999,0.73,38.88444419044716
squishy,0.6,0.75,38.72983346207417
halo,0.51,0.71,38.45776904605883
snow,0.63,0.77,38.06573262134856
infected,0.38,0.62,38.0
aa,0.53,0.73,37.82856063875548
simulator,0.55,0.74,37.81534080237808
watch,0.5700000000000001,0.75,37.74917217635375
legend,0.47000000000000003,0.7,37.54996671103718
rocket,0.47000000000000003,0.7,37.54996671103718
legend,0.47000000000000003,0.7,37.54996671103718
starship,0.37,0.62,37.49666651850534
tesla,0.52,0.73,37.46998799039039
apollo,0.5,0.72,37.41657386773942
construction,0.4,0.65,37.416573867739416
blizzard,0.45,0.6900000000000001,37.34969879396619
ff,0.45,0.6900000000000001,37.34969879396619
multiplayer,0.51,0.73,37.10795063055895
moon,0.43,0.6799999999999999,37.09447398198282
explorer,0.43,0.6799999999999999,37.09447398198282
horror,0.49000000000000005,0.72,37.04051835490427
fallout,0.49000000000000005,0.72,37.04051835490427
gg,0.38,0.64,36.98648401781386
17,0.36,0.62,36.98648401781386
gg,0.38,0.64,36.98648401781386
17,0.36,0.62,36.98648401781386
ups,0.62,0.78,36.932370625238775
sun,0.33999999999999997,0.6,36.87817782917155
planet,0.41,0.67,36.78314831549904
black,0.45,0.7,36.74234614174768
made,0.42000000000000004,0.6799999999999999,36.66060555964673
funny,0.43,0.6900000000000001,36.51027252705737
tone,0.35,0.62,36.46916505762094
tone,0.35,0.62,36.46916505762094
survival,0.52,0.75,36.05551275463989
missile,0.22000000000000003,0.41,36.02776706930364
missile,0.22000000000000003,0.41,36.02776706930364
universe,0.35,0.63,35.98610843089316
rfs,0.39,0.67,35.874782229304195
driving,0.49000000000000005,0.74,35.6931365951495
driving,0.49000000000000005,0.74,35.6931365951495
mining,0.36,0.65,35.49647869859769
arc,0.38,0.67,35.41186241925154
robot,0.5,0.75,35.35533905932738
fly,0.4,0.6900000000000001,35.21363372331802
pubg,0.82,0.85,35.07135583350036
frontier,0.49000000000000005,0.75,35.0
