KEYWORD,TRAFFIC,DIFFICULTY
calling,3.7,8.1
17,3.6,6.2
tone,3.5,6.2
seventeen,2.4,7.3
isa,2.0,6.7
freecall,1.9,8.2
ang,1.8,8.7
cellphone,1.4,8.1
2017,1.4,6.6
mutation,0.9,5.6
equipment,0.8,6.8
evolving,0.5,6.1
evolutionary,0.5,9.0
man,3.7,8.9
ark,6.3,7.0
building,4.4,8.1
creating,1.7,8.2
guerrilla,1.0,9.4
gera,1.0,8.7
rover,4.9,8.1
hill,3.2,7.8
aventura,2.1,8.9
fast,4.5,7.8
diversion,2.2,8.4
ways,4.7,8.2
gundam,4.2,7.6
ifun,4.1,9.3
gg,3.8,6.4
gold,4.0,9.0
epic,7.0,8.9
legend,4.7,7.0
reality,2.5,7.9
augmented,0.8,8.2
aug,0.5,9.5
model,4.0,8.2
modelling,0.7,5.4
thestar,0.5,9.3
plane,4.9,8.3
missile,2.2,4.1
driving,4.9,7.4
offroad,4.3,6.1
gogo,3.5,7.8
iwm,0.5,9.5
five,3.4,7.5
backyard,2.4,7.5
pocketgod,1.5,6.9
money,5.7,9.3
dragon,5.8,8.3
coco,5.6,8.4
space,5.1,6.6
arcade,5.3,8.9
ganes,4.8,9.3
kerbal,1.5,6.8
action,4.2,7.9
simulator,5.5,7.4
juegos,5.7,9.4
bazi,3.8,9.5
nasa,4.5,7.8
aerospace,0.8,7.7
dune,5.0,9.4
entertainment,4.5,9.5
rocketship,1.7,7.0
midway,2.5,8.8
casual,2.8,8.6
fly,4.0,6.9
sky,6.0,8.2
moon,4.3,6.8
jump,4.7,8.9
ballz,5.4,8.4
3d,5.1,8.7
starz,6.5,9.3
jpl,1.0,4.6
original,2.0,8.8
vortex,3.8,9.0
99,3.5,9.0
doom,5.6,8.9
education,5.0,9.0
planet,4.1,6.7
universe,3.5,6.3
launcher,3.4,4.1
adventure,4.7,7.5
decoration,2.1,8.7
odyssey,4.1,7.3
skyview,5.6,8.1
apollo,5.0,7.2
joey,1.7,8.3
planetarium,2.3,6.6
play,5.0,9.5
flight,4.5,9.3
rfs,3.9,6.7
shuttle,2.7,8.7
facade,2.7,8.8
metalstorm,2.4,6.4
gamecube,2.1,8.7
similar,1.0,8.5
war,5.5,6.9
galaxy,4.3,7.5
coloring,6.5,9.2
color,6.0,9.5
sims,7.3,8.8
block,5.2,8.3
gamefly,4.2,7.6
splashy,3.4,9.2
fsx,2.1,5.4
raft,5.6,7.3
battle,4.8,9.5
shooter,4.7,9.3
build,4.8,7.7
dos,3.6,8.5
